"","date","COMID","name"
"1",2016-07-28,22523229,"least bell's vireo"
"3",2007-07-05,22523133,"least bell's vireo"
"4",2008-05-26,22523133,"least bell's vireo"
"5",2009-07-18,22523133,"least bell's vireo"
"7",2010-07-26,22523133,"least bell's vireo"
"8",2010-06-12,22523133,"least bell's vireo"
"11",2013-07-30,22523133,"least bell's vireo"
"12",2013-07-13,22523133,"least bell's vireo"
"13",2015-07-10,22523133,"least bell's vireo"
"14",2009-08-24,22521721,"least bell's vireo"
"17",2013-07-30,22521721,"least bell's vireo"
"18",2016-08-12,22521721,"least bell's vireo"
"23",2008-05-26,22523131,"least bell's vireo"
"24",2005-07-12,948070467,"least bell's vireo"
"25",2007-08-21,948070467,"least bell's vireo"
"26",2008-05-26,948070467,"least bell's vireo"
"27",2009-07-18,948070467,"least bell's vireo"
"28",2013-07-13,948070467,"least bell's vireo"
"29",2017-05-09,948070467,"least bell's vireo"
"30",2017-05-22,948070467,"least bell's vireo"
"31",2017-06-02,948070467,"least bell's vireo"
"32",2017-06-13,948070467,"least bell's vireo"
"33",2017-06-23,948070467,"least bell's vireo"
"34",2017-07-05,948070467,"least bell's vireo"
"35",2017-07-17,948070467,"least bell's vireo"
"36",2017-07-27,948070467,"least bell's vireo"
"37",1994-07-19,22522829,"santa ana sucker"
"38",1994-07-19,22522829,"arroyo chub"
"39",2010-08-28,22522513,"rainbow trout"
"43",2010-08-28,22522513,"santa ana sucker"
"44",2010-08-28,22522513,"arroyo chub"
"51",2007-06-25,22521717,"least bell's vireo"
"53",2007-06-15,22521717,"least bell's vireo"
"54",2010-07-26,22521717,"least bell's vireo"
"58",2013-07-30,22521717,"least bell's vireo"
"59",2013-07-13,22521717,"least bell's vireo"
"64",2015-07-10,22521717,"least bell's vireo"
"70",2016-08-12,22521717,"least bell's vireo"
"86",2017-05-08,22521717,"least bell's vireo"
"87",2017-05-19,22521717,"least bell's vireo"
"88",2017-06-01,22521717,"least bell's vireo"
"89",2017-06-12,22521717,"least bell's vireo"
"90",2017-06-22,22521717,"least bell's vireo"
"91",2017-07-03,22521717,"least bell's vireo"
"92",2017-07-13,22521717,"least bell's vireo"
"93",2017-07-24,22521717,"least bell's vireo"
"94",2010-07-26,22521021,"least bell's vireo"
"96",2013-07-30,22521021,"least bell's vireo"
"97",2005-05-04,22527357,"least bell's vireo"
"99",2009-01-08,20366127,"least bell's vireo"
"100",2005-06-27,22521009,"least bell's vireo"
"101",2000-10-31,22524783,"santa ana sucker"
"248",2000-11-01,22524783,"santa ana sucker"
"385",2000-11-10,22524783,"santa ana sucker"
"584",2000-11-01,22524783,"arroyo chub"
"585",2000-10-31,22524783,"rainbow trout"
"629",2000-11-01,22524783,"rainbow trout"
"656",2000-11-10,22524783,"rainbow trout"
"693",2001-07-26,22524783,"santa ana sucker"
"694",2001-10-30,22524783,"santa ana sucker"
"696",2001-05-31,22524783,"santa ana sucker"
"767",2001-10-30,22524783,"arroyo chub"
"768",2001-07-26,22524783,"arroyo chub"
"769",2001-05-31,22524783,"arroyo chub"
"775",2001-05-31,22524783,"rainbow trout"
"780",2001-07-26,22524783,"rainbow trout"
"785",2001-10-30,22524783,"rainbow trout"
"1040",2001-06-01,22524783,"santa ana sucker"
"1047",2001-09-29,22524783,"santa ana sucker"
"1048",2001-06-01,22524783,"rainbow trout"
"1050",2001-07-27,22524783,"rainbow trout"
"1053",2001-09-29,22524783,"rainbow trout"
"1057",2001-07-27,22524783,"santa ana sucker"
"1058",2001-05-30,22524783,"santa ana sucker"
"1072",2001-07-27,22524783,"arroyo chub"
"1073",2001-05-30,22524783,"rainbow trout"
"1075",2001-10-04,22524783,"rainbow trout"
"1225",2001-10-04,22524783,"santa ana sucker"
"1267",2000-05-09,22524783,"santa ana sucker"
"1268",2007-08-17,22524783,"santa ana sucker"
"1271",2010-08-28,22522625,"rainbow trout"
"1274",2010-08-28,22522625,"santa ana sucker"
"1275",2010-08-28,22522625,"arroyo chub"
"1276",2009-07-15,22523251,"least bell's vireo"
"1277",2010-06-27,22523251,"least bell's vireo"
"1278",2005-03-01,20365911,"rainbow trout"
"1279",2005-06-01,20365911,"rainbow trout"
"1280",2005-11-01,20365911,"rainbow trout"
"1281",2012-03-01,20365911,"rainbow trout"
"1282",2012-06-01,20365911,"rainbow trout"
"1283",2012-11-01,20365911,"rainbow trout"
"1284",2013-03-01,20365911,"rainbow trout"
"1285",2013-06-01,20365911,"rainbow trout"
"1286",2013-11-01,20365911,"rainbow trout"
"1287",2014-03-01,20365911,"rainbow trout"
"1288",2014-06-01,20365911,"rainbow trout"
"1289",2014-11-01,20365911,"rainbow trout"
"1290",2015-03-01,20365911,"rainbow trout"
"1291",2015-06-01,20365911,"rainbow trout"
"1292",2015-11-01,20365911,"rainbow trout"
"1293",2016-03-01,20365911,"rainbow trout"
"1294",2016-06-01,20365911,"rainbow trout"
"1295",2016-11-01,20365911,"rainbow trout"
"1296",2017-03-01,20365911,"rainbow trout"
"1297",2017-06-01,20365911,"rainbow trout"
"1298",2017-11-01,20365911,"rainbow trout"
"1299",2012-03-01,20364785,"rainbow trout"
"1300",2012-06-01,20364785,"rainbow trout"
"1301",2012-11-01,20364785,"rainbow trout"
"1302",2013-03-01,20364785,"rainbow trout"
"1303",2013-06-01,20364785,"rainbow trout"
"1304",2013-11-01,20364785,"rainbow trout"
"1305",2014-03-01,20364785,"rainbow trout"
"1306",2014-06-01,20364785,"rainbow trout"
"1307",2014-11-01,20364785,"rainbow trout"
"1308",2015-03-01,20364785,"rainbow trout"
"1309",2015-06-01,20364785,"rainbow trout"
"1310",2015-11-01,20364785,"rainbow trout"
"1311",2016-03-01,20364785,"rainbow trout"
"1312",2016-06-01,20364785,"rainbow trout"
"1313",2016-11-01,20364785,"rainbow trout"
"1314",2017-03-01,20364785,"rainbow trout"
"1315",2017-06-01,20364785,"rainbow trout"
